order_id,customer_id,product_id,order_date,region,total_amount,status,store_id
ORD-1001,CUST-201,PRD-001,2024-01-10,West,$24.99,Completed,STR-101
ORD-1002,CUST-202,PRD-003,12/01/2024,West,$119.00,Returned,STR-101
ORD-1003,CUST-203,PRD-005,2024-01-14,East,$499.99,Completed,STR-102
ORD-1004,CUST-204,PRD-002,15/01/2024,Central,$59.50,Completed,STR-103
ORD-1005,CUST-205,PRD-004,2024-01-18,West,$89.99,Returned,STR-101
ORD-1006,CUST-201,PRD-006,20/01/2024,West,$45.00,Completed,STR-101
ORD-1007,CUST-206,PRD-008,2024-01-22,South,$79.99,Completed,STR-104
ORD-1008,CUST-207,PRD-010,24/01/2024,East,$28.00,Completed,STR-102
ORD-1009,CUST-208,PRD-012,2024-01-25,West,$249.99,Returned,STR-101
ORD-1010,CUST-202,PRD-009,28/01/2024,Central,$109.99,Completed,STR-103
ORD-1011,CUST-209,PRD-014,2024-01-29,South,$39.95,Completed,STR-104
ORD-1012,CUST-210,PRD-003,30/01/2024,East,$119.00,Completed,STR-102
ORD-1013,CUST-203,PRD-001,2024-02-01,West,$24.99,Completed,STR-101
ORD-1014,CUST-204,PRD-013,03/02/2024,Central,$89.99,Returned,STR-103
ORD-1015,CUST-205,PRD-011,2024-02-05,West,$34.00,Completed,STR-101
ORD-1016,CUST-206,PRD-015,08/02/2024,South,$68.00,Completed,STR-104
ORD-1017,CUST-207,PRD-005,2024-02-10,East,$499.99,Completed,STR-102
ORD-1018,CUST-208,PRD-007,12/02/2024,West,$55.00,Completed,STR-101
ORD-1019,CUST-209,PRD-002,2024-02-15,Central,$59.50,Completed,STR-103
ORD-1020,CUST-210,PRD-010,18/02/2024,East,$28.00,Completed,STR-102
ORD-1001,CUST-201,PRD-001,2024-01-10,West,$24.99,Completed,STR-101
